price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,full_address,latitude,longitude
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,"18810 Densmore Ave N, Shoreline, WA 98133, USA",47.76576585,-122.33888277563206
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,"709 W Blaine St, Seattle, WA 98119, USA",47.6345419,-122.36690787456773
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,"26206-26214 143rd Ave SE, Kent, WA 98042, USA",,
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,"857 170th Pl NE, Bellevue, WA 98008, USA",47.618767500000004,-122.11380234016393
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,"9105 170th Ave NE, Redmond, WA 98052, USA",47.6830431,-122.11395660435556
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,"522 NE 88th St, Seattle, WA 98115, USA",47.69238905,-122.32204017944977
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,"2616 174th Ave NE, Redmond, WA 98052, USA",47.634381,-122.1073902
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,"23762 SE 253rd Pl, Maple Valley, WA 98038, USA",47.37504085,-122.02201422795294
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,"46611-46625 SE 129th St, North Bend, WA 98045, USA",,
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,"6811 55th Ave NE, Seattle, WA 98115, USA",47.67802115,-122.26919811162792
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,"Burke-Gilman Trail, Lake Forest Park, WA 98155, USA",47.75317038429392,-122.27682552681833
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,"3838-4098 44th Ave NE, Seattle, WA 98105, USA",,
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,"1833 220th Pl NE, Sammamish, WA 98074, USA",47.62605734693878,-122.04576671428572
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,"2504 SW Portland Ct, Seattle, WA 98106, USA",47.53334185,-122.36494734680693
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,"3534 46th Ave NE, Seattle, WA 98105, USA",47.655012299999996,-122.27783503834081
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,"14034 SE 201st St, Kent, WA 98042, USA",47.422514,-122.153114
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,"15424 SE 9th St, Bellevue, WA 98007, USA",47.6021997,-122.13404144761904
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,"11224 SE 306th Pl, Auburn, WA 98092, USA",47.3278647,-122.1910873974526
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,"1605 S 245th Pl, Des Moines, WA 98198, USA",47.38154265,-122.31287949450498
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,"12425 415th Ave SE, North Bend, WA 98045, USA",,
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,"3225 NE 92nd St, Seattle, WA 98115, USA",47.69536005,-122.29212747294216
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,"3922 154th Ave SE, Bellevue, WA 98006, USA",47.5746185,-122.13492875
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,"3140 Franklin Ave E, Seattle, WA 98102, USA",47.6497571,-122.3209188
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,"10212 NE 156th Pl, Bothell, WA 98011, USA",47.7417518,-122.20505435295945
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,"2021 NE 100th St, Seattle, WA 98125, USA",47.70105405,-122.30595669562922
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,"27736 23rd Avenue South, Federal Way, WA 98003, USA",47.353618999999995,-122.30327274676685
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,"8436-8438 41st Ave SW, Seattle, WA 98136, USA",47.51655068399366,-122.38479606796857
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,"1036 4th St, Kirkland, WA 98033, USA",47.6845548,-122.2010638130243
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,"23525 SE 32nd Way, Issaquah, WA 98029, USA",,
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,"3314 NW 75th St, Seattle, WA 98117, USA",47.683281750000006,-122.40014992087447
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,"14104 119th Ave NE, Kirkland, WA 98034, USA",47.72740675,-122.18122556728515
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,"20120 137th Ave NE, Woodinville, WA 98072, USA",47.77295217627856,-122.15830377434516
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,"7201-7399 55th Ave NE, Seattle, WA 98115, USA",,
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,"17052 4th Ave NE, Shoreline, WA 98155, USA",47.75377975,-122.32507827529203
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,"5172-5198 Heather Ave SE, Auburn, WA 98092, USA",,
